check,passed,detail
1 station set matches wpa_stations.csv,True,9 stations
2 displayed ratios equal cut/avail from source,True,"27 values, worst 0.00e+00"
3 station cuts sum to the group totals,True,observed 1.6e-16 effectiveness 0.0e+00 band 1.7e-16
4 shift factors match WP2024s42_shift_factors.csv,True,worst 2.78e-17
5 coordinates are the model's bus positions,True,worst 0.00e+00 deg
6 stations fall in their expected county,True,all 9 correct
7 total cut ordering eff <= band 5 <= observed,True,10127 <= 10530 <= 11072
8 headline saving reproduces from station rows,True,8.5349% vs 8.5349%
9 trajectory matches wpe_trajectory.csv,True,"670 points, final observed 3.00 pp"
10 Corderry/Cunghill claim on the page is true,True,"18.1 km vs 18.7 km, SF ratio 1.575"
11 no-spatial-gradient statistic on the page is true,True,"Spearman +0.200, p=0.606"
12 no interpolated surface in the page,True,"9 discrete marks, no blur/IDW/kriging"
13 sequential ramp is monotone in lightness,True,"#eef4fc -> #0d2f63, 8 steps"
14 not colour-alone: table + size key + ramp,True,"table, size key, ramp legend, aria labels"
15 every CSS token used is defined,True,"10 used, 15 defined"
16 warm-up statistics recompute from source,True,"warm-up 7.0 d = 336 half-hours, worst 0.00e+00"
17 page is pure ASCII (charset-independent),True,no non-ASCII bytes
18 rule views share a single colour scale,True,"RMAX spans observed, band3 and effectiveness"
19 map shows the recommended band,True,"b = 5 pp, saving 4.90 % (wpe_dominance.json)"
